"","","stimuli_3","durations_3","choices_3","choice_durations_3","record_3"
"139",3,10459252,1717,10460969,3501,10464470
"140",4,13741540,2134,13743674,3084,13746758
"141",4,13748374,1567,13749941,3651,13753592
"142",4,13852125,1851,13853976,3367,13857343
"143",4,13859142,2384,13861526,2834,13864360
"144",4,13866209,2600,13868809,2618,13871427
"145",4,13907410,1767,13909177,3451,13912628
"146",4,13936077,1400,13937477,3818,13941295
"147",4,13950210,1317,13951527,3901,13955428
"148",4,13991894,1534,13993428,3684,13997112
"149",4,14035578,1551,14037129,3667,14040796
"150",4,14070396,1367,14071763,3851,14075614
"151",4,14125430,1600,14127030,3618,14130648
"152",4,14139130,1500,14140630,3718,14144348
"153",4,14174798,4366,14179164,1017,14180181
"154",4,14189214,3234,14192448,1984,14194432
"155",4,14221015,1283,14222298,3935,14226233
"156",4,14380851,1834,14382685,3384,14386069
"157",4,14418235,3000,14421235,2218,14423453
"158",4,14455302,1367,14456669,3851,14460520
"159",4,14462152,1234,14463386,3984,14467370
"160",4,14469002,1901,14470903,3317,14474220
"161",4,14482703,1967,14484670,3251,14487921
"162",4,14490053,1600,14491653,3618,14495271
"163",4,14556271,2733,14559004,2485,14561489
"164",4,14563121,1950,14565071,3268,14568339
"165",4,14576821,2234,14579055,2984,14582039
"166",4,14621638,5451,14627089,1016,14628105
"167",4,14718990,1417,14720407,3801,14724208
"168",4,14766408,2533,14768941,2684,14771625
"169",4,14775774,2351,14778125,2867,14780992
"170",4,14821292,1983,14823275,3235,14826510
"171",4,14828225,1584,14829809,3634,14833443
"172",4,14855859,1917,14857776,3301,14861077
"173",4,14904360,2333,14906693,2885,14909578
"174",4,14947961,2733,14950694,2485,14953179
"175",4,14954811,1900,14956711,3318,14960029
"176",4,14968511,2667,14971178,2551,14973729
"177",4,14984561,2167,14986728,3051,14989779
"178",4,15051562,2001,15053563,3217,15056780
"179",4,15107180,1750,15108930,3468,15112398
"180",4,15170781,17,15170798,5201,15175999
"181",4,15317950,1734,15319684,3484,15323168
"182",4,15343734,1367,15345101,3851,15348952
"183",5,1208989,2050,1211039,3168,1214207
"184",5,1223623,1200,1224823,4017,1228840
"185",5,1230489,3234,1233723,1984,1235707
"186",5,1244206,1734,1245940,3484,1249424
"187",5,1251073,1333,1252406,3885,1256291
"188",5,1257923,1383,1259306,3835,1263141
"189",5,1279307,1050,1280357,4168,1284525
"190",5,1286173,6534,1292707,1017,1293724
"191",5,1295974,916,1296890,4301,1301191
"192",5,1338758,2816,1341574,2401,1343975
"193",5,1352974,2417,1355391,2801,1358192
"194",5,1373575,1500,1375075,3718,1378793
"195",5,1408059,1366,1409425,3852,1413277
"196",5,1415075,1717,1416792,3501,1420293
"197",5,1479093,4783,1483876,1017,1484893
"198",5,1487326,1867,1489193,3351,1492544
"199",5,1525610,1567,1527177,3651,1530828
"200",5,1541777,1000,1542777,4218,1546995
"201",5,1555794,1034,1556828,4184,1561012
"202",5,1569527,901,1570428,4317,1574745
"203",5,1584961,1034,1585995,4184,1590179
"204",5,1592311,1184,1593495,4034,1597529
"205",5,1620545,4650,1625195,1017,1626212
"206",5,1627895,1200,1629095,4018,1633113
"207",5,1634745,1134,1635879,4084,1639963
"208",5,1641595,1250,1642845,3968,1646813
"209",5,1649045,6334,1655379,1017,1656396
"210",5,1679929,4000,1683929,1218,1685147
"211",5,1694079,1417,1695496,3801,1699297
"212",5,1700930,883,1701813,4334,1706147
"213",5,1707996,767,1708763,4451,1713214
"214",5,1714863,2017,1716880,3201,1720081
"215",5,1722146,1951,1724097,3267,1727364
"216",5,1735880,1183,1737063,4035,1741098
"217",5,1743213,767,1743980,4451,1748431
"218",5,1816898,2017,1818915,3201,1822116
"219",5,1823981,1434,1825415,3784,1829199
"220",5,1830848,967,1831815,4251,1836066
"221",5,1860015,967,1860982,4251,1865233
"222",5,1968067,1333,1969400,3885,1973285
"223",5,1975433,1417,1976850,3801,1980651
"224",5,1982284,783,1983067,4434,1987501
"225",5,2010184,833,2011017,4385,2015402
"226",5,2017034,3784,2020818,1434,2022252
"227",5,2061101,1101,2062202,4117,2066319
"228",5,2097152,917,2098069,4301,2102370
"229",5,2132986,1150,2134136,4068,2138204
"230",5,2147269,1000,2148269,4218,2152487
"231",5,2176786,751,2177537,4467,2182004
"232",5,2273538,1717,2275255,3501,2278756
"233",5,2280388,1433,2281821,3785,2285606
"234",5,2287238,967,2288205,4251,2292456
"235",5,2308205,750,2308955,4468,2313423
"236",5,2315288,1017,2316305,4201,2320506
"237",5,2330355,1984,2332339,3234,2335573
"238",5,2374406,1367,2375773,3851,2379624
"239",5,2415790,1233,2417023,3985,2421008
"240",5,2467541,1567,2469108,3651,2472759
"241",5,2503958,834,2504792,4384,2509176
"242",5,2630893,1234,2632127,3984,2636111
"243",5,2637743,1500,2639243,3718,2642961
"244",6,4917645,3100,4920745,2118,4922863
"245",6,4939962,1800,4941762,3418,4945180
"246",6,4954446,2317,4956763,2901,4959664
"247",6,4984329,1418,4985747,3800,4989547
"248",6,5051064,2584,5053648,2634,5056282
"249",6,5079764,1234,5080998,3985,5084983
"250",6,5095315,1966,5097281,3252,5100533
"251",6,5140965,2084,5143049,3134,5146183
"252",6,5162549,4250,5166799,1017,5167816
"253",6,5169616,4633,5174249,1017,5175266
"254",6,5201016,917,5201933,4301,5206234
"255",6,5319002,966,5319968,4251,5324219
"256",6,5355202,1200,5356402,4018,5360420
"257",6,5378869,1234,5380103,3984,5384087
"258",6,5401820,1716,5403536,3501,5407037
"259",6,5465537,2850,5468387,2368,5470755
"260",6,5472621,1300,5473921,3918,5477839
"261",6,5543038,1134,5544172,4084,5548256
"262",6,5563605,1567,5565172,3651,5568823
"263",6,5570489,1167,5571656,4051,5575707
"264",6,5617156,1617,5618773,3601,5622374
"265",6,5724408,1867,5726275,3351,5729626
